Cell	Coordinate_1(m)	Coordinate_2(m)	Uave(m/s)	Depth(m)	m-index	Tau(Pa)
Cell_56	-2.409638554	-0.64008	0.208830951	0.131280008	0.14285714285714285	0.15242965782876092
Cell_57	-2.409638554	-0.70104	0.208848164	0.131293427	0.14285714285714285	0.15229031023397926
Cell_58	-2.409638554	-0.762	0.208900509	0.131303637	0.14285714285714285	0.15236722273361022
Cell_59	-2.409638554	-0.82296	0.208912606	0.131312997	0.14285714285714285	0.15238256621726667
Cell_60	-2.409638554	-0.88392	0.208454245	0.131315618	0.14285714285714285	0.1516776877265203
Cell_61	-2.34939759	0.88392	0.208441248	0.130771517	0.14285714285714285	0.1518475009748363
Cell_62	-2.34939759	0.82296	0.209316084	0.130772421	0.14285714285714285	0.15319393993853292
Cell_63	-2.34939759	0.762	0.209312287	0.130777042	0.14285714285714285	0.1531864465805037
Cell_64	-2.34939759	0.70104	0.209250727	0.130783666	0.14285714285714285	0.1530891353058317
Cell_65	-2.34939759	0.64008	0.209203957	0.130793603	0.14285714285714285	0.1530135093194764
Cell_66	-2.34939759	0.57912	0.209175119	0.130805983	0.14285714285714285	0.1529646665399977
Cell_67	-2.34939759	0.51816	0.209150724	0.130821107	0.14285714285714285	0.15292173015635133
Cell_68	-2.34939759	0.4572	0.209130693	0.130838552	0.14285714285714285	0.15288470846907726
Cell_69	-2.34939759	0.39624	0.209110784	0.130858249	0.14285714285714285	0.1528470964079554
Cell_70	-2.34939759	0.33528	0.209091157	0.130879904	0.14285714285714285	0.15280923449287243
Cell_71	-2.34939759	0.27432	0.209070494	0.130903315	0.14285714285714285	0.15276916404537633
Cell_72	-2.34939759	0.21336	0.209048835	0.130928205	0.14285714285714285	0.1527270519796104
Cell_73	-2.34939759	0.1524	0.209025803	0.130954314	0.14285714285714285	0.15268240777685846
Cell_74	-2.34939759	0.09144	0.209001485	0.13098135	0.14285714285714285	0.15263547246571993
Cell_75	-2.34939759	0.03048	0.208975891	0.131009023	0.14285714285714285	0.15258635523031355
Cell_76	-2.34939759	-0.03048	0.20894925	0.131037029	0.14285714285714285	0.1525355266190487
Cell_77	-2.34939759	-0.09144	0.208921789	0.131065063	0.14285714285714285	0.1524834406596544
Cell_78	-2.34939759	-0.1524	0.208893946	0.131092813	0.14285714285714285	0.15243088142783273
Cell_79	-2.34939759	-0.21336	0.208866071	0.13111998	0.14285714285714285	0.15237849495718495
Cell_80	-2.34939759	-0.27432	0.208838948	0.131146252	0.14285714285714285	0.1523275895004066
Cell_81	-2.34939759	-0.33528	0.208812861	0.131171362	0.14285714285714285	0.15227869694767152
Cell_82	-2.34939759	-0.39624	0.208789413	0.131194994	0.14285714285714285	0.15223439013811937
Cell_83	-2.34939759	-0.4572	0.208768244	0.131216968	0.14285714285714285	0.15219417566098078
Cell_84	-2.34939759	-0.51816	0.208753557	0.131236906	0.14285714285714285	0.15216465430259543
Cell_85	-2.34939759	-0.57912	0.20874257	0.131254872	0.14285714285714285	0.15214148624609916
Cell_86	-2.34939759	-0.64008	0.208748937	0.13127017	0.14285714285714285	0.15214592589956052
Cell_87	-2.34939759	-0.70104	0.208761506	0.13128361	0.14285714285714285	0.15216054774638618
Cell_88	-2.34939759	-0.762	0.208819304	0.131293176	0.14285714285714285	0.15224603536401743
Cell_89	-2.34939759	-0.82296	0.208775043	0.131302259	0.14285714285714285	0.1521748422964056
Cell_90	-2.34939759	-0.88392	0.207967767	0.131303524	0.14285714285714285	0.15093670390627725
Cell_91	-2.289156627	0.88392	0.208714008	0.130747676	0.14285714285714285	0.15227505697922636
Cell_92	-2.289156627	0.82296	0.209923051	0.130748856	0.14285714285714285	0.15414054888948736
Cell_93	-2.289156627	0.762	0.209972996	0.130754302	0.14285714285714285	0.154215959304924
Cell_94	-2.289156627	0.70104	0.20989815	0.130761526	0.14285714285714285	0.15409750797126787
Cell_95	-2.289156627	0.64008	0.209823188	0.130772111	0.14285714285714285	0.15397770664754104
Cell_96	-2.289156627	0.57912	0.209765753	0.130785062	0.14285714285714285	0.15388424741409515
Cell_97	-2.289156627	0.51816	0.209711059	0.130800798	0.14285714285714285	0.15379407134612086
Cell_98	-2.289156627	0.4572	0.209659426	0.130818854	0.14285714285714285	0.1537078427679605
Cell_99	-2.289156627	0.39624	0.209605546	0.130839208	0.14285714285714285	0.15361735930606366
Cell_100	-2.289156627	0.33528	0.209549653	0.13086155	0.14285714285714285	0.153686102397181
Cell_101	-2.289156627	0.27432	0.209490149	0.130885691	0.14285714285714285	0.15342266259033718
Cell_102	-2.289156627	0.21336	0.209427235	0.130911345	0.14285714285714285	0.15331647594342923
Cell_103	-2.289156627	0.1524	0.20936064	0.130938253	0.14285714285714285	0.1532042121348927
Cell_104	-2.289156627	0.09144	0.209290752	0.130966114	0.14285714285714285	0.15308658764123673
Cell_105	-2.289156627	0.03048	0.209217913	0.130994634	0.14285714285714285	0.15296423773954412
Cell_106	-2.289156627	-0.03048	0.209142805	0.131023498	0.14285714285714285	0.15283834077112796
Cell_107	-2.289156627	-0.09144	0.209066156	0.131052392	0.14285714285714285	0.15271013675265074
Cell_108	-2.289156627	-0.1524	0.208989015	0.131080995	0.14285714285714285	0.1525813208717468
Cell_109	-2.289156627	-0.21336	0.20891236	0.131108996	0.14285714285714285	0.15245354310640152
Cell_110	-2.289156627	-0.27432	0.208837769	0.13113607	0.14285714285714285	0.1524908610546145
Cell_111	-2.289156627	-0.33528	0.208766199	0.131161942	0.14285714285714285	0.1522102590050736
Cell_112	-2.289156627	-0.39624	0.20870035	0.131186269	0.14285714285714285	0.15210056819058712
Cell_113	-2.289156627	-0.4572	0.208640367	0.13120888	0.14285714285714285	0.1520005324579834
Cell_114	-2.289156627	-0.51816	0.2085923	0.131229332	0.14285714285714285	0.1520801907751752
Cell_115	-2.289156627	-0.57912	0.208553065	0.131247753	0.14285714285714285	0.15185295410998842
Cell_116	-2.289156627	-0.64008	0.208539995	0.131263262	0.14285714285714285	0.15182747805568864
Cell_117	-2.289156627	-0.70104	0.208537415	0.131276925	0.14285714285714285	0.1518187596447903
Cell_118	-2.289156627	-0.762	0.208579619	0.131286198	0.14285714285714285	0.1518803032502329
Cell_119	-2.289156627	-0.82296	0.208452893	0.131295257	0.14285714285714285	0.15168269691820785
Cell_120	-2.289156627	-0.88392	0.207326426	0.13129583	0.14285714285714285	0.1499600358271814
Cell_121	-2.228915663	0.88392	0.209131845	0.130721699	0.14285714285714285	0.1529276390712214
Cell_122	-2.228915663	0.82296	0.210636986	0.13072292	0.14285714285714285	0.1552575201950813
Cell_123	-2.228915663	0.762	0.210755027	0.13072913	0.14285714285714285	0.1554388759723516
Cell_124	-2.228915663	0.70104	0.210673817	0.130736876	0.14285714285714285	0.1553097945321738
Cell_125	-2.228915663	0.64008	0.210569761	0.130748172	0.14285714285714285	0.15514399952478233
Cell_126	-2.228915663	0.57912	0.210479542	0.130761796	0.14285714285714285	0.15499896592472787
Cell_127	-2.228915663	0.51816	0.210388154	0.130778299	0.14285714285714285	0.15485116997966125
Cell_128	-2.228915663	0.4572	0.210296936	0.130797152	0.14285714285714285	0.15470288400251977
Cell_129	-2.228915663	0.39624	0.210199818	0.130818378	0.14285714285714285	0.1547095647511512
Cell_130	-2.228915663	0.33528	0.210097236	0.130841643	0.14285714285714285	0.15437741483201453
Cell_131	-2.228915663	0.27432	0.209987456	0.130866771	0.14285714285714285	0.15419841390471428
Cell_132	-2.228915663	0.21336	0.209870926	0.130893463	0.14285714285714285	0.1540085519991251
Cell_133	-2.228915663	0.1524	0.209747588	0.130921457	0.14285714285714285	0.15380783972820827
Cell_134	-2.228915663	0.09144	0.209618232	0.130950443	0.14285714285714285	0.15359764021793848
Cell_135	-2.228915663	0.03048	0.209483655	0.130980116	0.14285714285714285	0.1533793145123769
Cell_136	-2.228915663	-0.03048	0.209345129	0.13101015	0.14285714285714285	0.1531549540211083
Cell_137	-2.228915663	-0.09144	0.209204039	0.13104022	0.14285714285714285	0.15292682685401243
Cell_138	-2.228915663	-0.1524	0.209062217	0.131069987	0.14285714285714285	0.1526978832195263
Cell_139	-2.228915663	-0.21336	0.208921463	0.131099132	0.14285714285714285	0.15247100345251152
Cell_140	-2.228915663	-0.27432	0.20878434	0.131127305	0.14285714285714285	0.15225025419632104
Cell_141	-2.228915663	-0.33528	0.208652701	0.131154225	0.14285714285714285	0.15203855477163614
Cell_142	-2.228915663	-0.39624	0.208530487	0.131179517	0.14285714285714285	0.1518420660143704
Cell_143	-2.228915663	-0.4572	0.208418599	0.131203017	0.14285714285714285	0.1516621890920993
Cell_144	-2.228915663	-0.51816	0.208324829	0.131224215	0.14285714285714285	0.15151103389531803
Cell_145	-2.228915663	-0.57912	0.208246143	0.131243306	0.14285714285714285	0.15138378275200778
Cell_146	-2.228915663	-0.64008	0.208202311	0.131259235	0.14285714285714285	0.15131109644062718
Cell_147	-2.228915663	-0.70104	0.208173459	0.131273316	0.14285714285714285	0.15126201911702714
Cell_148	-2.228915663	-0.762	0.208182202	0.131282562	0.14285714285714285	0.15143184839664625
Cell_149	-2.228915663	-0.82296	0.207953281	0.131291786	0.14285714285714285	0.1509186106725958
Cell_150	-2.228915663	-0.88392	0.206541312	0.131291928	0.14285714285714285	0.14876727206257268
Cell_151	-2.168674699	0.88392	0.209708401	0.130693113	0.14285714285714285	0.15382812637367918
Cell_152	-2.168674699	0.82296	0.211474152	0.130694207	0.14285714285714285	0.15657243175237853
Cell_153	-2.168674699	0.762	0.211668638	0.130701146	0.14285714285714285	0.15687386776555245
Cell_154	-2.168674699	0.70104	0.211585649	0.130709392	0.14285714285714285	0.15674115305012368
Cell_155	-2.168674699	0.64008	0.211451261	0.130721481	0.14285714285714285	0.15652683473603377
Cell_156	-2.168674699	0.57912	0.211323895	0.13073589	0.14285714285714285	0.15649037849863298
Cell_157	-2.168674699	0.51816	0.211189343	0.130753325	0.14285714285714285	0.15610663638438296
Cell_158	-2.168674699	0.4572	0.211050462	0.13077317	0.14285714285714285	0.1558830262056064
Cell_159	-2.168674699	0.39624	0.210900645	0.130795494	0.14285714285714285	0.15564171129816615
Cell_160	-2.168674699	0.33528	0.210740654	0.130819934	0.14285714285714285	0.15538399923625834
Cell_161	-2.168674699	0.27432	0.210568762	0.130846322	0.14285714285714285	0.15510737249514026
Cell_162	-2.168674699	0.21336	0.210385749	0.130874344	0.14285714285714285	0.15481318870514246
Cell_163	-2.168674699	0.1524	0.21019189	0.130903734	0.14285714285714285	0.15450202832329712
Cell_164	-2.168674699	0.09144	0.209988481	0.130934166	0.14285714285714285	0.15434039944960906
Cell_165	-2.168674699	0.03048	0.20977691	0.130965324	0.14285714285714285	0.15383766237380747
Cell_166	-2.168674699	-0.03048	0.209559172	0.130996867	0.14285714285714285	0.15349002718021315
Cell_167	-2.168674699	-0.09144	0.209337477	0.131028454	0.14285714285714285	0.1531367062378785
Cell_168	-2.168674699	-0.1524	0.209114616	0.131059728	0.14285714285714285	0.1527821842334818
Cell_169	-2.168674699	-0.21336	0.208893414	0.131090351	0.14285714285714285	0.15243092836559705
Cell_170	-2.168674699	-0.27432	0.208677617	0.131119951	0.14285714285714285	0.1520888020476545
Cell_171	-2.168674699	-0.33528	0.208470212	0.131148233	0.14285714285714285	0.15176046059389664
Cell_172	-2.168674699	-0.39624	0.208276543	0.131174786	0.14285714285714285	0.1514541874260153
Cell_173	-2.168674699	-0.4572	0.208098531	0.131199452	0.14285714285714285	0.15117290235725223
Cell_174	-2.168674699	-0.51816	0.207945667	0.131221654	0.14285714285714285	0.15093124451430595
Cell_175	-2.168674699	-0.57912	0.207815322	0.131241651	0.14285714285714285	0.15088380961417794
Cell_176	-2.168674699	-0.64008	0.207728748	0.131258223	0.14285714285714285	0.15058696269524108
Cell_177	-2.168674699	-0.70104	0.20766176	0.131272918	0.14285714285714285	0.1506380099698352
Cell_178	-2.168674699	-0.762	0.207621129	0.131282356	0.14285714285714285	0.1504142736521252
Cell_179	-2.168674699	-0.82296	0.207274969	0.13129193	0.14285714285714285	0.14988295305539584
Cell_180	-2.168674699	-0.88392	0.205609174	0.131291823	0.14285714285714285	0.14735641893409918
Cell_181	-2.108433735	0.88392	0.210453108	0.130661623	0.14285714285714285	0.1549936973160588
Cell_182	-2.108433735	0.82296	0.212446825	0.130662522	0.14285714285714285	0.15810735050683256
Cell_183	-2.108433735	0.762	0.212721172	0.130670199	0.14285714285714285	0.15853571631875454
Cell_184	-2.108433735	0.70104	0.212639134	0.130678955	0.14285714285714285	0.15840351701513078
Cell_185	-2.108433735	0.64008	0.212472865	0.130691929	0.14285714285714285	0.15813751618471972
Cell_186	-2.108433735	0.57912	0.212303778	0.130707241	0.14285714285714285	0.1578665040902926
Cell_187	-2.108433735	0.51816	0.212119504	0.130725777	0.14285714285714285	0.15774024787864
Cell_188	-2.108433735	0.4572	0.211924775	0.130746813	0.14285714285714285	0.15725809284371745
Cell_189	-2.108433735	0.39624	0.211712637	0.130770469	0.14285714285714285	0.15691760820489745
Cell_190	-2.108433735	0.33528	0.211484284	0.130796343	0.14285714285714285	0.15655139599302095
Cell_191	-2.108433735	0.27432	0.211238121	0.130824276	0.14285714285714285	0.1561571717309908
Cell_192	-2.108433735	0.21336	0.210975353	0.130853934	0.14285714285714285	0.15573705275306246
Cell_193	-2.108433735	0.1524	0.210696698	0.130885042	0.14285714285714285	0.15529236528222332
Cell_194	-2.108433735	0.09144	0.210404074	0.130917258	0.14285714285714285	0.15482633559523445
Cell_195	-2.108433735	0.03048	0.21009958	0.130950251	0.14285714285714285	0.1543424467332813
Cell_196	-2.108433735	-0.03048	0.209786084	0.13098366	0.14285714285714285	0.1538453612473976
Cell_197	-2.108433735	-0.09144	0.209466782	0.131017124	0.14285714285714285	0.15334021658002087
Cell_198	-2.108433735	-0.1524	0.209145605	0.131050264	0.14285714285714285	0.15283325179013077
Cell_199	-2.108433735	-0.21336	0.208826622	0.131082721	0.14285714285714285	0.15233086109043076
Cell_200	-2.108433735	-0.27432	0.208514967	0.131114095	0.14285714285714285	0.15184105304816067
Cell_201	-2.108433735	-0.33528	0.208215027	0.131144073	0.14285714285714285	0.151370595986138
Cell_202	-2.108433735	-0.39624	0.207933726	0.131172205	0.14285714285714285	0.15093010518292327
Cell_203	-2.108433735	-0.4572	0.207674311	0.131198337	0.14285714285714285	0.1505244816600087
Cell_204	-2.108433735	-0.51816	0.207447982	0.131221817	0.14285714285714285	0.15017087416867203
Cell_205	-2.108433735	-0.57912	0.207252838	0.131242971	0.14285714285714285	0.14986605439614756
Cell_206	-2.108433735	-0.64008	0.207110937	0.13126042	0.14285714285714285	0.14964392105568436
Cell_207	-2.108433735	-0.70104	0.206993268	0.131275929	0.14285714285714285	0.1494595036893782
Cell_208	-2.108433735	-0.762	0.206888684	0.13128575	0.14285714285714285	0.14929706709921628
Cell_209	-2.108433735	-0.82296	0.206414169	0.131295831	0.14285714285714285	0.14857307339986792
Cell_210	-2.108433735	-0.88392	0.204523814	0.131295548	0.14285714285714285	0.14572170383755076
Cell_211	-2.048192771	0.88392	0.211375769	0.130626925	0.14285714285714285	0.15644309159426897
Cell_212	-2.048192771	0.82296	0.213568855	0.1306276	0.14285714285714285	0.15988775130620847
Cell_213	-2.048192771	0.762	0.213922918	0.13063605	0.14285714285714285	0.16044466498512508
Cell_214	-2.048192771	0.70104	0.21384295	0.130645356	0.14285714285714285	0.16031463900204906
Cell_215	-2.048192771	0.64008	0.213642769	0.13065932	0.14285714285714285	0.15999285819123213
Cell_216	-2.048192771	0.57912	0.213427018	0.130675666	0.14285714285714285	0.15964599079569702
Cell_217	-2.048192771	0.51816	0.213186215	0.130695482	0.14285714285714285	0.1592587659213482
Cell_218	-2.048192771	0.4572	0.212927165	0.130717919	0.14285714285714285	0.1588423951758933
Cell_219	-2.048192771	0.39624	0.212642773	0.130743151	0.14285714285714285	0.1583857851809709
Cell_220	-2.048192771	0.33528	0.212334721	0.130770732	0.14285714285714285	0.15789195860613453
Cell_221	-2.048192771	0.27432	0.212001669	0.13080051	0.14285714285714285	0.1573590455885828
Cell_222	-2.048192771	0.21336	0.211645324	0.130832126	0.14285714285714285	0.15695799594326812
Cell_223	-2.048192771	0.1524	0.211266961	0.130865294	0.14285714285714285	0.15618739428420556
Cell_224	-2.048192771	0.09144	0.210869223	0.130899651	0.14285714285714285	0.1555554699667562
Cell_225	-2.048192771	0.03048	0.210455047	0.13093485	0.14285714285714285	0.15489918464836647
Cell_226	-2.048192771	-0.03048	0.210028309	0.130970503	0.14285714285714285	0.15422486336014002
Cell_227	-2.048192771	-0.09144	0.209593362	0.131006229	0.14285714285714285	0.15353951829609047
Cell_228	-2.048192771	-0.1524	0.209155463	0.13104162	0.14285714285714285	0.15285147411726674
Cell_229	-2.048192771	-0.21336	0.208720153	0.131076291	0.14285714285714285	0.1521694387502711
Cell_230	-2.048192771	-0.27432	0.20829419	0.131109811	0.14285714285714285	0.15150384080045226
Cell_231	-2.048192771	-0.33528	0.207883646	0.131141844	0.14285714285714285	0.1508640100459249
Cell_232	-2.048192771	-0.39624	0.207497255	0.131171897	0.14285714285714285	0.15026327880064305
Cell_233	-2.048192771	-0.4572	0.207139914	0.131199811	0.14285714285714285	0.14970885437607245
Cell_234	-2.048192771	-0.51816	0.206824642	0.131224867	0.14285714285714285	0.14922053796247473
Cell_235	-2.048192771	-0.57912	0.206550526	0.131247443	0.14285714285714285	0.14879643203534385
Cell_236	-2.048192771	-0.64008	0.206339999	0.131266008	0.14285714285714285	0.1484707587771436
Cell_237	-2.048192771	-0.70104	0.206158427	0.131282538	0.14285714285714285	0.14819002825972907
Cell_238	-2.048192771	-0.762	0.205976184	0.131292909	0.14285714285714285	0.14791067434162866
Cell_239	-2.048192771	-0.82296	0.205364845	0.131303641	0.14285714285714285	0.14698384353795863
Cell_240	-2.048192771	-0.88392	0.203275602	0.131303214	0.14285714285714285	0.14385303441808592
Cell_241	-1.987951807	0.88392	0.212487195	0.130588695	0.14285714285714285	0.15819770834437072
Cell_242	-1.987951807	0.82296	0.214855026	0.130589128	0.14285714285714285	0.16211746028065474
Cell_243	-1.987951807	0.762	0.215286083	0.130598405	0.14285714285714285	0.1626250423916078
Cell_244	-1.987951807	0.70104	0.215207972	0.130608321	0.14285714285714285	0.1624967444076985
Cell_245	-1.987951807	0.64008	0.214971339	0.130623393	0.14285714285714285	0.1621140531025895
Cell_246	-1.987951807	0.57912	0.214703577	0.13064092	0.14285714285714285	0.16168144825043124
Cell_247	-1.987951807	0.51816	0.214399097	0.130662207	0.14285714285714285	0.16118981619889655
Cell_248	-1.987951807	0.4572	0.214066862	0.13068627	0.14285714285714285	0.1606540312928553
Cell_249	-1.987951807	0.39624	0.213699858	0.130713339	0.14285714285714285	0.16006316766956982
Cell_250	-1.987951807	0.33528	0.21330027	0.130742918	0.14285714285714285	0.1594212111976643
Cell_251	-1.987951807	0.27432	0.212867134	0.13077486	0.14285714285714285	0.15872705263323203
Cell_252	-1.987951807	0.21336	0.212402721	0.130808776	0.14285714285714285	0.1581545359993319
Cell_253	-1.987951807	0.1524	0.211908972	0.130844369	0.14285714285714285	0.1571980035803187
Cell_254	-1.987951807	0.09144	0.211389354	0.130881251	0.14285714285714285	0.15653988702941893
Cell_255	-1.987951807	0.03048	0.210847753	0.13091905	0.14285714285714285	0.1555151157543346
Cell_256	-1.987951807	-0.03048	0.210289194	0.130957353	0.14285714285714285	0.15463383352427895
Cell_257	-1.987951807	-0.09144	0.209719343	0.130995753	0.14285714285714285	0.15373789016739303
Cell_258	-1.987951807	-0.1524	0.209144978	0.131033808	0.14285714285714285	0.1528380635353199
Cell_259	-1.987951807	-0.21336	0.20857336	0.131071104	0.14285714285714285	0.15194571153507577
Cell_260	-1.987951807	-0.27432	0.208013126	0.131107171	0.14285714285714285	0.1510741639638637
Cell_261	-1.987951807	-0.33528	0.207472367	0.131141645	0.14285714285714285	0.15039409497004402
Cell_262	-1.987951807	-0.39624	0.206961907	0.131173987	0.14285714285714285	0.14944673949628176
Cell_263	-1.987951807	-0.4572	0.206488654	0.131204028	0.14285714285714285	0.1487173434174563
Cell_264	-1.987951807	-0.51816	0.206067653	0.131230974	0.14285714285714285	0.14807010520488084
Cell_265	-1.987951807	-0.57912	0.205699175	0.131255255	0.14285714285714285	0.1475046859458039
Cell_266	-1.987951807	-0.64008	0.205405784	0.131275184	0.14285714285714285	0.14720851849477953
Cell_267	-1.987951807	-0.70104	0.205146276	0.131292946	0.14285714285714285	0.14665814750901127
Cell_268	-1.987951807	-0.762	0.204873089	0.131304027	0.14285714285714285	0.14624342280978175
Cell_269	-1.987951807	-0.82296	0.204118159	0.13131555	0.14285714285714285	0.14510712409367424
Cell_270	-1.987951807	-0.88392	0.201852134	0.131314993	0.14285714285714285	0.14173726232282136
Cell_271	-1.927710843	0.88392	0.213799579	0.130546572	0.14285714285714285	0.1602825678028495
Cell_272	-1.927710843	0.82296	0.216321069	0.130546749	0.14285714285714285	0.16430023658988477
Cell_273	-1.927710843	0.762	0.216824538	0.130556923	0.14285714285714285	0.16510512568555744
Cell_274	-1.927710843	0.70104	0.21674696	0.130567522	0.14285714285714285	0.1649763205603405
Cell_275	-1.927710843	0.64008	0.216470829	0.130583837	0.14285714285714285	0.1645264669559841
Cell_276	-1.927710843	0.57912	0.216145326	0.130602706	0.14285714285714285	0.16399722507368425
Cell_277	-1.927710843	0.51816	0.215769645	0.130625673	0.14285714285714285	0.16338710270612564
Cell_278	-1.927710843	0.4572	0.21535491	0.130651604	0.14285714285714285	0.16271485894423793
Cell_279	-1.927710843	0.39624	0.214894435	0.13068079	0.14285714285714285	0.1619701527418712
Cell_280	-1.927710843	0.33528	0.214390886	0.130712679	0.14285714285714285	0.16115803099159023
Cell_281	-1.927710843	0.27432	0.213843802	0.130747126	0.14285714285714285	0.1602783466159512
Cell_282	-1.927710843	0.21336	0.213256066	0.130783712	0.14285714285714285	0.1593364994473256
Cell_283	-1.927710843	0.1524	0.212630386	0.130822121	0.14285714285714285	0.1583374897905638
Cell_284	-1.927710843	0.09144	0.21197115	0.130861936	0.14285714285714285	0.1572889776824918
Cell_285	-1.927710843	0.03048	0.211283283	0.130902761	0.14285714285714285	0.15619939292950802
Cell_286	-1.927710843	-0.03048	0.210573083	0.130944152	0.14285714285714285	0.15507915477590353
Cell_287	-1.927710843	-0.09144	0.20984768	0.130985668	0.14285714285714285	0.15393991765331896
